Norwegian.taxa	Scientific.taxa	m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	catchsampleid	catchcategory	aphia	specimenid	individualproducttype	individualweight	individualvolume	lengthresolution	length	fat	fatpercent	sex	maturationstage	specialstage	eggstage	moultingstage	spawningfrequency	stomachfillfield	stomachfilllab	digestion	liver	liverparasite	gillworms	swollengills	fungusheart	fungusspores	fungusouter	blackspot	vertebraecount	agingstructureread	agingstructureweight	age	spawningage	spawningzones	readability	otolithtype	otolithedge	otolithcentre	calibration	growthzone1	growthzone2	growthzone3	growthzone4	growthzone5	growthzone6	growthzone7	growthzone8	growthzone9	growthzonestotal	coastalannuli	oceanicannuli	blindreading	readingdate	agereader	preferredagereading	tagid	tagtype	gonadweight	liverweight	stomachweight	diameter	mantlelength	carapacelength	headlength	snouttoendoftail	snouttoendsqueezed	snouttoanalfin	snouttodorsalfin	forklength	snouttoboneknob	lengthwithouthead	carapacewidth	rightclawwidth	rightclawlength	rightclawheight	meroswidth	meroslength	japanesecut	abdomenwidth	tissuesamplenumber	morphologytype	individualcomment	cond
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	15	1			1	0.021																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	16	1			1	0.017																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	17	1			1	0.016																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	18	1			1	0.023																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	19	1			1	0.016																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	20	1			1	0.028																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	21	1			1	0.02																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	22	1			1	0.022																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	23	1			1	0.015																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	24	1			1	0.016																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	25	1			1	0.018																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	26	1			1	0.021																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	27	1			1	0.023																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	28	1			1	0.021																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	29	1			1	0.017																																																																										
uerslekten	Sebastes	4	2020	1019	9	2206	9	166705	126175	30	1			1	0.019																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2206	10	164744	126437	1	1			1	0.077																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2206	10	164744	126437	2	1			1	0.042																																																																										
hyse	Melanogrammus aeglefinus	4	2020	1019	9	2206	10	164744	126437	3	1			1	0.067																																																																										
	Hyperia galba	4	2020	1019	9	2206	12	95110	103251	1				1	0.006																																																																										
	Hyperia galba	4	2020	1019	9	2206	12	95110	103251	2				1	0.008																																																																										
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	1	1	0.126		2	0.29			1		2							2	2		1								4			2																				1																												0.503492416707407
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	2	1	0.108		2	0.265																																																																										0.564225092506957
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	3	1	0.13		2	0.3			1		2							1	3		1								5			1																				1																												0.469642309804743
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	4	1	0.074		2	0.245			2		2							2	2		1								2			1																				1																												0.488096968047993
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	5	1	0.169		2	0.29																																																																										0.675319193837712
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	6	1	0.264		2	0.335																																																																										0.686724584666972
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	7	1	0.101		2	0.26																																																																										0.558384623690746
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	8	1	0.174		2	0.31																																																																										0.5701632
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	9	1	0.147		2	0.285																																																																										0.618591271472015
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	10	1	0.136		2	0.3																																																																										0.491318108718808
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	11	1	0.043		2	0.215																																																																										0.417917610094411
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	12	1	0.103		2	0.26																																																																										0.569441744951949
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	13	1	0.172		2	0.3																																																																										0.621372902203198
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	14	1	0.059		2	0.215																																																																										0.573421837106285
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	15	1	0.162		2	0.295																																																																										0.615253516137053
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	16	1	0.101		2	0.26																																																																										0.558384623690746
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	17	1	0.069		2	0.23																																																																										0.549009954535113
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	18	1	0.089		2	0.245																																																																										0.587035542652316
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	19	1	0.108		2	0.26																																																																										0.597084548104956
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	20	1	0.064		2	0.22																																																																										0.581018456130695
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	21	1	0.079		2	0.235																																																																										0.589706954366526
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	22	1	0.132		2	0.295																																																																										0.501317679815376
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	23	1	0.179		2	0.305																																																																										0.615627016869019
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	24	1	0.147		2	0.305																																																																										0.505570790389641
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	25	1	0.052		2	0.21																																																																										0.541909220435579
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	26	1	0.195		2	0.315																																																																										0.609261061041807
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	27	1	0.134		2	0.28																																																																										0.594359819169352
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	28	1	0.049		2	0.22																																																																										0.444842255475064
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	29	1	0.2		2	0.31																																																																										0.65536
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	30	1	0.187		2	0.33																																																																										0.508705762937504
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	31	1	0.138		2	0.28																																																																										0.612101903323661
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	32	1	0.102		2	0.255																																																																										0.597404475225743
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	33	1	0.152		2	0.31																																																																										0.4980736
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	34	1	0.292		2	0.34																																																																										0.726776914721549
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	35	1	0.192		2	0.31																																																																										0.6291456
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	36	1	0.22		2	0.32																																																																										0.655893797378195
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	37	1	0.106		2	0.265																																																																										0.553776479682754
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	38	1	0.107		2	0.265																																																																										0.559000786094855
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	39	1	0.081		2	0.245																																																																										0.534268302863344
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	40	1	0.102		2	0.285																																																																										0.429226596531602
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	41	1	0.189		2	0.305																																																																										0.650019587643824
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	42	1	0.14		2	0.295																																																																										0.531700569501157
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	43	1	0.143		2	0.3																																																																										0.516606540785217
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	44	1	0.188		2	0.32																																																																										0.560491063214094
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	45	1	0.14		2	0.31																																																																										0.458752
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	46	1	0.126		2	0.29																																																																										0.503492416707407
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	47	1	0.037		2	0.185			2		1							2	1		1								0			1																				1																												0.561303703703704
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	48	1	0.16		2	0.315																																																																										0.499906511624047
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	49	1	0.136		2	0.28																																																																										0.603230861246506
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	50	1	0.119		2	0.275																																																																										0.556875355998804
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	51	1	0.065		2	0.225																																																																										0.552038228647334
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	52	1	0.057		2	0.22																																																																										0.5174695624914
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	53	1	0.198		2	0.315																																																																										0.618634308134758
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	54	1	0.065		2	0.225																																																																										0.552038228647334
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	55	1	0.092		2	0.245																																																																										0.606823257573181
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	56	1	0.067		2	0.235																																																																										0.50013121446275
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	57	1	0.121		2	0.27																																																																										0.597978886959288
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	58	1	0.072		2	0.23																																																																										0.572879952558379
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	59	1	0.205		2	0.31																																																																										0.671744
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	60	1	0.174		2	0.3																																																																										0.628598168507887
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	61	1	0.05		2	0.205																																																																										0.559648960189721
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	62	1	0.199		2	0.34																																																																										0.495303445306809
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	63	1	0.077		2	0.24																																																																										0.539952425457968
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	64	1	0.178		2	0.3																																																																										0.643048701117263
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	65	1	0.115		2	0.275																																																																										0.538156856637499
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	66	1	0.101		2	0.255																																																																										0.591547568605882
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	67	1	0.055		2	0.22																																																																										0.499312735737316
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	68	1	0.149		2	0.305																																																																										0.512449304544602
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	69	1	0.076		2	0.24																																																																										0.532940056296176
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	70	1	0.082		2	0.24																																																																										0.575014271266927
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	71	1	0.125		2	0.27																																																																										0.617746784048851
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	72	1	0.132		2	0.275																																																																										0.617710478923043
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	73	1	0.208		2	0.325																																																																										0.592146848148051
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	74	1	0.073		2	0.23																																																																										0.580836618566134
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	75	1	0.079		2	0.23																																																																										0.628576614612666
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	76	1	0.12		2	0.295																																																																										0.455743345286706
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	77	1	0.092		2	0.245																																																																										0.606823257573181
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	78	1	0.067		2	0.23																																																																										0.533096622519603
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	79	1	0.1		2	0.25																																																																										0.621177694673692
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	80	1	0.06		2	0.225																																																																										0.509573749520616
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	81	1	0.06		2	0.23																																																																										0.477399960465316
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	82	1	0.041		2	0.2																																																																										0.493751893436901
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	83	1	0.23		2	0.32																																																																										0.685707151804477
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	84	1	0.09		2	0.255																																																																										0.52712159578742
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	85	1	0.083		2	0.25																																																																										0.515577486579165
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	86	1	0.101		2	0.26																																																																										0.558384623690746
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	87	1	0.153		2	0.3																																																																										0.552732872308659
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	88	1	0.122		2	0.275																																																																										0.570914230519782
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	89	1	0.168		2	0.285																																																																										0.706961453110874
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	90	1	0.127		2	0.285																																																																										0.53442919372072
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	91	1	0.068		2	0.23																																																																										0.541053288527358
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	92	1	0.101		2	0.255																																																																										0.591547568605882
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	93	1	0.056		2	0.22																																																																										0.508391149114358
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	94	1	0.214		2	0.36			1		2							2	2		1								10			2																				1																												0.449251711837304
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	95	1	0.124		2	0.265																																																																										0.64781399510058
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	96	1	0.1		2	0.25																																																																										0.621177694673692
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	97	1	0.154		2	0.29																																																																										0.615379620420164
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	98	1	0.079		2	0.245																																																																										0.521076492916101
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	99	1	0.088		2	0.245																																																																										0.580439637678695
kolmule	Micromesistius poutassou	4	2020	1019	9	2207	1	164774	126439	100	1	0.049		2	0.2																																																																										0.590093726302638
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	1	1	0.392		2	0.38																																																																										0.700473562344185
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	2	1	0.337		2	0.365																																																																										0.678981389399667
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	3	1	0.063		2	0.22																																																																										0.571940042753653
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	4	1	0.392		2	0.375																																																																										0.728677230666367
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	5	1	0.427		2	0.405																																																																										0.631022777363813
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	6	1	0.464		2	0.395																																																																										0.738765458634881
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	7	1	0.452		2	0.39																																																																										0.747514207757165
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	8	1	0.315		2	0.355																																																																										0.689417678023478
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	9	1	0.499		2	0.4																																																																										0.765249212789649
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	10	1	0.135		2	0.265																																																																										0.705281365633696
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	11	1	0.374		2	0.375																																																																										0.695217561911279
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	12	1	0.356		2	0.375																																																																										0.661757893156191
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	13	1	0.421		2	0.375																																																																										0.782584474771787
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	14	1	0.479		2	0.385																																																																										0.823228491826391
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	15	1	0.428		2	0.395																																																																										0.681447448913209
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	16	1	0.494		2	0.41																																																																										0.703809444305312
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	17	1	0.333		2	0.36																																																																										0.699069252531879
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	18	1	0.56		2	0.42																																																																										0.742519540342284
vassild	Argentina silus	4	2020	1019	9	2207	2	162064	126715	19	1	0.422		2	0.385																																																																										0.725266019938908
